rf,ada,knn,cart
0.9791446985143193,0.973678675501199,0.7343420297206935,0.9615900262750875
0.9804876703348604,0.9769136387007454,0.9649429688628344,0.961022413716198
0.97350925990968,0.9759528830490211,0.9693696727687897,0.9537255049965324
0.9795858288319814,0.9697811907012779,0.9700414879445998,0.950480017590673
0.9698006886378434,0.9780436184574137,0.9649883690493881,0.9682170166576595
0.977489563347999,0.9704877149344576,0.9613254316423374,0.9294920549133784
0.973315626677502,0.9715338916621159,0.9698486595444857,0.9476592833964108
0.9750200476057446,0.9753776043389647,0.9694173813388226,0.9497323800795179
0.9743839346704465,0.9683197362445005,0.9661937008698572,0.94190107217143
0.9670043987847875,0.9700869572391357,0.9593381119229734,0.9461964962089329
0.967557196702083,0.9692738985878397,0.9656195454071567,0.9614830479873894
0.9678320473925555,0.9626329657895609,0.9509875139116877,0.9365183436117451
0.9893528328942925,0.986172398635567,0.9736259519989685,0.972122991562559
